zipcode,Total Students Enrolled_x,Average_School_Rating,MEDIAN HOUSEHOLD INCOME,MEDIAN INCOME BLACK/AA,MEDIAN INCOME INDIGENOUS PEOPLE,MEDIAN INCOME ASIAN,MEDIAN INCOME HAW/PAC ISLANDER,MEDIAN INCOME OTHER RACE,MEDIAN INCOME MIXED RACE,MEDIAN INCOME WHITE/NOT LATINO,MEDIAN INCOME HISPANIC/LATINO,o25_10th_grade_attained_ratio,o25_11th_grade_attained_ratio,o25_12th_grade_started_ratio,o25_high_school_completed_ratio,o25_ged_attained_ratio,o25_less_one_yr_college_ratio,o25_more_one_yr_college_ratio,o25_assoc_degree_completed_ratio,o25_bach_degree_completed_ratio,o25_masters_degree_completed_ratio,o25_professional_degree_completed_ratio,o25_doctoral_degree_completed_ratio,married_ratio,female_hoh_ratio,male_hoh_ratio,non_family_ratio,POPULATION_TOTAL,population_white_ratio,population_black_aa_ratio,population_indigenous_ratio,population_asian_ratio,population_haw_pac_islander_ratio,population_other_ratio,population_mixed_ratio,population_hispanic_latino_ratio,Theft Count_x,latitude_x,longitude_x,Substance Abuse Count_x,Violent Count_x,Miscellaneous Count_x,Theft Count_y,latitude_y,longitude_y,Substance Abuse Count_y,Violent Count_y,Miscellaneous Count_y,School Name,School Rating,School Address,City,Grades,Total Students Enrolled_y,Students Per Teacher,District,total_school_rating_points,San Diego County Zip Codes
92069,9879,6.004555116914667,55085,56649,37273,77566,0,47819,67375,55535,49678,0.029091143649616204,0.015867896536154294,0.014771334580403793,0.17751402954266915,0.016351673869573632,0.05279623298716377,0.1343610914016642,0.1389731019802619,0.1557763013610269,0.05505386054312068,0.010901115913049087,0.006031090756627749,0.7058176100628931,0.22311320754716982,0.0710691823899371,0,49135,0.39786303042637633,0.026681591533530072,0.0007937315559173705,0.08635392286557443,0.00453851633255317,0.0006716190088531597,0.027332858451205862,0.45576472982598965,206,33.1878708,-117.15848,188,312,120,206,33.1878708,-117.15848,188,312,120,Woodland Park Middle,6,1270 Rock Springs Road, San Marcos,6-8,1381,31:1,San Marcos Unified,8286,92069
92069,9879,6.004555116914667,55085,56649,37273,77566,0,47819,67375,55535,49678,0.029091143649616204,0.015867896536154294,0.014771334580403793,0.17751402954266915,0.016351673869573632,0.05279623298716377,0.1343610914016642,0.1389731019802619,0.1557763013610269,0.05505386054312068,0.010901115913049087,0.006031090756627749,0.7058176100628931,0.22311320754716982,0.0710691823899371,0,49135,0.39786303042637633,0.026681591533530072,0.0007937315559173705,0.08635392286557443,0.00453851633255317,0.0006716190088531597,0.027332858451205862,0.45576472982598965,206,33.1878708,-117.15848,188,312,120,206,33.1878708,-117.15848,188,312,120,San Marcos Elementary,5,1 Tiger Way, San Marcos,K-5,772,28:1,San Marcos Unified,3860,92069
92069,9879,6.004555116914667,55085,56649,37273,77566,0,47819,67375,55535,49678,0.029091143649616204,0.015867896536154294,0.014771334580403793,0.17751402954266915,0.016351673869573632,0.05279623298716377,0.1343610914016642,0.1389731019802619,0.1557763013610269,0.05505386054312068,0.010901115913049087,0.006031090756627749,0.7058176100628931,0.22311320754716982,0.0710691823899371,0,49135,0.39786303042637633,0.026681591533530072,0.0007937315559173705,0.08635392286557443,0.00453851633255317,0.0006716190088531597,0.027332858451205862,0.45576472982598965,206,33.1878708,-117.15848,188,312,120,206,33.1878708,-117.15848,188,312,120,San Marcos Middle,5,650 West Mission Road, San Marcos,6-8,1132,25:1,San Marcos Unified,5660,92069
92069,9879,6.004555116914667,55085,56649,37273,77566,0,47819,67375,55535,49678,0.029091143649616204,0.015867896536154294,0.014771334580403793,0.17751402954266915,0.016351673869573632,0.05279623298716377,0.1343610914016642,0.1389731019802619,0.1557763013610269,0.05505386054312068,0.010901115913049087,0.006031090756627749,0.7058176100628931,0.22311320754716982,0.0710691823899371,0,49135,0.39786303042637633,0.026681591533530072,0.0007937315559173705,0.08635392286557443,0.00453851633255317,0.0006716190088531597,0.027332858451205862,0.45576472982598965,206,33.1878708,-117.15848,188,312,120,206,33.1878708,-117.15848,188,312,120,Community Collaborative Charter,4,100 East San Marcos Boulevard, San Marcos,K-12,541,N/A,Community Collaborative Charter District - Acton-Agua Dulce,2164,92069
92069,9879,6.004555116914667,55085,56649,37273,77566,0,47819,67375,55535,49678,0.029091143649616204,0.015867896536154294,0.014771334580403793,0.17751402954266915,0.016351673869573632,0.05279623298716377,0.1343610914016642,0.1389731019802619,0.1557763013610269,0.05505386054312068,0.010901115913049087,0.006031090756627749,0.7058176100628931,0.22311320754716982,0.0710691823899371,0,49135,0.39786303042637633,0.026681591533530072,0.0007937315559173705,0.08635392286557443,0.00453851633255317,0.0006716190088531597,0.027332858451205862,0.45576472982598965,206,33.1878708,-117.15848,188,312,120,206,33.1878708,-117.15848,188,312,120,Foothills High,2,158 Cassou Road, San Marcos,9-12,118,54:1,San Marcos Unified,236,92069
92069,9879,6.004555116914667,55085,56649,37273,77566,0,47819,67375,55535,49678,0.029091143649616204,0.015867896536154294,0.014771334580403793,0.17751402954266915,0.016351673869573632,0.05279623298716377,0.1343610914016642,0.1389731019802619,0.1557763013610269,0.05505386054312068,0.010901115913049087,0.006031090756627749,0.7058176100628931,0.22311320754716982,0.0710691823899371,0,49135,0.39786303042637633,0.026681591533530072,0.0007937315559173705,0.08635392286557443,0.00453851633255317,0.0006716190088531597,0.027332858451205862,0.45576472982598965,206,33.1878708,-117.15848,188,312,120,206,33.1878708,-117.15848,188,312,120,Twin Oaks High,2,158 Cassou Road, San Marcos,9-12,163,13:1,San Marcos Unified,326,92069
92071,9166,6.376391010255292,76349,53750,138021,68750,0,71053,85795,76150,78577,0.008305251147610581,0.01578793748507443,0.017114654920794968,0.21423833152015284,0.03820946214875156,0.08238915275824554,0.22559503276992066,0.10231644864276807,0.18053970865285113,0.06721150529360256,0.01220580040862897,0.006686655876031523,0.7218156280032527,0.19745693797590005,0.0783617949286612,0.0023656390921859985,56158,0.7121692367961822,0.016079632465543645,0.003027173332383632,0.04375155810392108,0.0033833113714875885,0.00019587592150717618,0.050179849709747495,0.17121336229922718,258,32.844,-116.995,248,212,102,258,32.844,-116.995,248,212,102,Rio Seco Elementary,8,9545 Cuyamaca Street, Santee,K-8,1002,27:1,Santee,8016,92071
92071,9166,6.376391010255292,76349,53750,138021,68750,0,71053,85795,76150,78577,0.008305251147610581,0.01578793748507443,0.017114654920794968,0.21423833152015284,0.03820946214875156,0.08238915275824554,0.22559503276992066,0.10231644864276807,0.18053970865285113,0.06721150529360256,0.01220580040862897,0.006686655876031523,0.7218156280032527,0.19745693797590005,0.0783617949286612,0.0023656390921859985,56158,0.7121692367961822,0.016079632465543645,0.003027173332383632,0.04375155810392108,0.0033833113714875885,0.00019587592150717618,0.050179849709747495,0.17121336229922718,258,32.844,-116.995,248,212,102,258,32.844,-116.995,248,212,102,West Hills High,7,8756 Mast Boulevard, Santee,9-12,1730,23:1,Grossmont Union High,12110,92071
92071,9166,6.376391010255292,76349,53750,138021,68750,0,71053,85795,76150,78577,0.008305251147610581,0.01578793748507443,0.017114654920794968,0.21423833152015284,0.03820946214875156,0.08238915275824554,0.22559503276992066,0.10231644864276807,0.18053970865285113,0.06721150529360256,0.01220580040862897,0.006686655876031523,0.7218156280032527,0.19745693797590005,0.0783617949286612,0.0023656390921859985,56158,0.7121692367961822,0.016079632465543645,0.003027173332383632,0.04375155810392108,0.0033833113714875885,0.00019587592150717618,0.050179849709747495,0.17121336229922718,258,32.844,-116.995,248,212,102,258,32.844,-116.995,248,212,102,Carlton Hills Elementary,7,9353 Pike Road, Santee,K-8,658,31:1,Santee,4606,92071
92071,9166,6.376391010255292,76349,53750,138021,68750,0,71053,85795,76150,78577,0.008305251147610581,0.01578793748507443,0.017114654920794968,0.21423833152015284,0.03820946214875156,0.08238915275824554,0.22559503276992066,0.10231644864276807,0.18053970865285113,0.06721150529360256,0.01220580040862897,0.006686655876031523,0.7218156280032527,0.19745693797590005,0.0783617949286612,0.0023656390921859985,56158,0.7121692367961822,0.016079632465543645,0.003027173332383632,0.04375155810392108,0.0033833113714875885,0.00019587592150717618,0.050179849709747495,0.17121336229922718,258,32.844,-116.995,248,212,102,258,32.844,-116.995,248,212,102,PRIDE Academy at Prospect Avenue,7,9303 Prospect Avenue, Santee,K-8,566,25:1,Santee,3962,92071
92071,9166,6.376391010255292,76349,53750,138021,68750,0,71053,85795,76150,78577,0.008305251147610581,0.01578793748507443,0.017114654920794968,0.21423833152015284,0.03820946214875156,0.08238915275824554,0.22559503276992066,0.10231644864276807,0.18053970865285113,0.06721150529360256,0.01220580040862897,0.006686655876031523,0.7218156280032527,0.19745693797590005,0.0783617949286612,0.0023656390921859985,56158,0.7121692367961822,0.016079632465543645,0.003027173332383632,0.04375155810392108,0.0033833113714875885,0.00019587592150717618,0.050179849709747495,0.17121336229922718,258,32.844,-116.995,248,212,102,258,32.844,-116.995,248,212,102,Santana High,6,9915 North Magnolia Avenue, Santee,9-12,1616,24:1,Grossmont Union High,9696,92071
